bc/l2_loss,batch_size,bc/samples_so_far,bc/prob_true_act,bc/l2_norm,bc/epoch,bc/entropy,bc/ent_loss,bc/test_loss,bc/training_loss,bc/batch,bc/neglogp
0.0,32,32,0.16714656352996826,128.5002899169922,0,1.7917380332946777,-0.0017917380901053548,1.7863668203353882,1.787113070487976,0,1.7889047861099243
0.0,32,16032,0.21999941766262054,133.5389404296875,0,1.677977204322815,-0.0016779772704467177,1.6182907819747925,1.5466358661651611,500,1.548313856124878
0.0,32,32032,0.23389041423797607,137.85206604003906,1,1.5900546312332153,-0.001590054715052247,1.572241187095642,1.5716052055358887,1000,1.573195219039917
0.0,32,48032,0.2079249620437622,142.51596069335938,1,1.5977221727371216,-0.0015977222938090563,1.5566309690475464,1.6669765710830688,1500,1.668574333190918
0.0,32,64032,0.24289144575595856,146.99542236328125,2,1.587568759918213,-0.0015875687822699547,1.5416327714920044,1.485000729560852,2000,1.4865882396697998
0.0,32,80032,0.233498215675354,151.0728759765625,2,1.572761058807373,-0.001572761102579534,1.532017469406128,1.580034613609314,2500,1.5816073417663574
0.0,32,96032,0.2602390944957733,155.25314331054688,3,1.5130668878555298,-0.0015130669344216585,1.522456407546997,1.4699124097824097,3000,1.4714255332946777
0.0,32,112032,0.22914859652519226,158.64361572265625,3,1.5190869569778442,-0.001519087003543973,1.5134819746017456,1.6391338109970093,3500,1.6406528949737549
0.0,32,128032,0.25778213143348694,162.15631103515625,4,1.571909785270691,-0.0015719098737463355,1.5080362558364868,1.456811785697937,4000,1.4583836793899536
0.0,32,144032,0.273358017206192,165.29954528808594,4,1.5280734300613403,-0.0015280734514817595,1.5113061666488647,1.4709867238998413,4500,1.4725147485733032
0.0,32,160032,0.23667654395103455,168.60699462890625,5,1.562612771987915,-0.0015626128297299147,1.505861520767212,1.602012038230896,5000,1.6035746335983276
0.0,32,176032,0.2610909938812256,171.6977996826172,5,1.4806530475616455,-0.0014806530671194196,1.503842830657959,1.4562212228775024,5500,1.4577019214630127
0.0,32,192032,0.2630969285964966,174.6956329345703,6,1.5264992713928223,-0.0015264993999153376,1.4984090328216553,1.4125465154647827,6000,1.4140729904174805
0.0,32,208032,0.27858686447143555,177.4238739013672,6,1.479928970336914,-0.0014799290802329779,1.496558666229248,1.3893550634384155,6500,1.3908350467681885
0.0,32,224032,0.22088491916656494,179.9115753173828,7,1.55299973487854,-0.0015529998345300555,1.4939329624176025,1.6108802556991577,7000,1.6124333143234253
0.0,32,240032,0.28319305181503296,182.4203643798828,7,1.4560292959213257,-0.0014560293639078736,1.4919390678405762,1.3191869258880615,7500,1.3206429481506348
0.0,32,256032,0.21241074800491333,185.03990173339844,8,1.502888560295105,-0.0015028886264190078,1.4889920949935913,1.7247564792633057,8000,1.7262593507766724
0.0,32,272032,0.23031085729599,187.585205078125,8,1.5376471281051636,-0.001537647214718163,1.4913300275802612,1.6133326292037964,8500,1.614870309829712
0.0,32,288032,0.238065704703331,189.883544921875,9,1.5437875986099243,-0.0015437876572832465,1.4855345487594604,1.5005487203598022,9000,1.5020924806594849
0.0,32,304032,0.24718187749385834,192.33950805664062,9,1.5078109502792358,-0.001507811015471816,1.4850996732711792,1.499567985534668,9500,1.5010757446289062
0.0,32,320032,0.24358487129211426,194.59629821777344,10,1.5155166387557983,-0.0015155166620388627,1.4910873174667358,1.544737458229065,10000,1.546252965927124
0.0,32,336032,0.22742152214050293,197.0407257080078,10,1.5144630670547485,-0.001514463103376329,1.508925199508667,1.561286449432373,10500,1.5628008842468262
0.0,32,352032,0.2470472902059555,198.93209838867188,11,1.518210768699646,-0.0015182108618319035,1.514901876449585,1.4767589569091797,11000,1.4782772064208984
0.0,32,368032,0.2269471138715744,201.0441436767578,11,1.5204092264175415,-0.0015204092487692833,1.5218336582183838,1.6730270385742188,11500,1.6745474338531494
0.0,32,384032,0.2712132930755615,203.04649353027344,12,1.4925106763839722,-0.0014925107825547457,1.5110334157943726,1.453447937965393,12000,1.4549404382705688
0.0,32,400032,0.2830377221107483,205.05087280273438,12,1.4852643013000488,-0.0014852643944323063,1.5045441389083862,1.360230803489685,12500,1.3617160320281982
0.0,32,416032,0.2800103724002838,207.83837890625,13,1.495223045349121,-0.0014952231431379914,1.4917962551116943,1.3705679178237915,13000,1.372063159942627
0.0,32,432032,0.23196540772914886,210.5450439453125,13,1.4956800937652588,-0.001495680189691484,1.4910637140274048,1.643178105354309,13500,1.6446738243103027
0.0,32,448032,0.2638419270515442,212.85215759277344,14,1.5059120655059814,-0.001505912165157497,1.4859890937805176,1.4285907745361328,14000,1.4300967454910278
0.0,32,464032,0.2395814061164856,215.48817443847656,14,1.4959865808486938,-0.0014959865948185325,1.482967495918274,1.5479475259780884,14500,1.5494434833526611
0.0,32,480032,0.2507901191711426,218.02606201171875,15,1.468233346939087,-0.0014682334149256349,1.4791088104248047,1.5449376106262207,15000,1.5464057922363281
0.0,32,496032,0.2694357633590698,220.0961151123047,15,1.4976372718811035,-0.0014976373640820384,1.4745482206344604,1.4171736240386963,15500,1.4186712503433228
0.0,32,512032,0.258461058139801,223.25851440429688,16,1.495084285736084,-0.0014950843760743737,1.4762606620788574,1.4815317392349243,16000,1.4830268621444702
0.0,32,528032,0.26947200298309326,225.83580017089844,16,1.5105823278427124,-0.001510582398623228,1.4856200218200684,1.4562628269195557,16500,1.4577734470367432
0.0,32,544032,0.23193201422691345,229.51393127441406,17,1.5456007719039917,-0.001545600825920701,1.4994149208068848,1.6548832654953003,17000,1.6564288139343262
0.0,32,560032,0.22117726504802704,232.25506591796875,17,1.4926642179489136,-0.0014926643343642354,1.4851504564285278,1.6922041177749634,17500,1.6936967372894287
0.0,32,576032,0.248975932598114,234.4068145751953,18,1.4748461246490479,-0.0014748461544513702,1.4834316968917847,1.5440120697021484,18000,1.5454869270324707
0.0,32,592032,0.23213061690330505,237.03802490234375,18,1.5600794553756714,-0.0015600795159116387,1.485607624053955,1.5889619588851929,18500,1.590522050857544
0.0,32,608032,0.2700229585170746,239.73028564453125,19,1.4835655689239502,-0.0014835656620562077,1.481186032295227,1.3887593746185303,19000,1.3902429342269897
0.0,32,624032,0.22258879244327545,242.07911682128906,19,1.5312944650650024,-0.001531294547021389,1.4807568788528442,1.6329933404922485,19500,1.6345245838165283
